year,month,treatment,final_re,N_ID
2015,1,1,1,12654
2015,1,1,2,578
2015,1,1,3,45
2015,1,1,4,1640
2015,1,1,5,123
2015,1,1,9,41
2015,1,1,99,40
2015,1,2,1,23450
2015,1,2,2,802
2015,1,2,3,66
2015,1,2,4,2019
2015,1,2,5,347
2015,1,2,9,411
2015,1,2,99,-1
2015,1,3,1,3222
2015,1,3,2,212
2015,1,3,3,18
2015,1,3,4,240
2015,1,3,5,54
2015,1,3,9,43
2015,1,3,99,-1
2016,1,1,1,13504
2016,1,1,2,652
2016,1,1,3,47
2016,1,1,4,1848
2016,1,1,5,131
2016,1,1,9,74
2016,1,1,99,23
2016,1,2,1,25987
2016,1,2,2,931
2016,1,2,3,72
2016,1,2,4,2343
2016,1,2,5,395
2016,1,2,9,586
2016,1,2,99,286
2016,1,3,1,3930
2016,1,3,2,274
2016,1,3,3,28
2016,1,3,4,367
2016,1,3,5,62
2016,1,3,9,64
2016,1,3,99,33
2017,1,1,1,14245
2017,1,1,2,697
2017,1,1,3,49
2017,1,1,4,1943
2017,1,1,5,140
2017,1,1,9,122
2017,1,1,99,39
2017,1,2,1,28608
2017,1,2,2,1076
2017,1,2,3,79
2017,1,2,4,2771
2017,1,2,5,423
2017,1,2,9,588
2017,1,2,99,356
2017,1,3,1,4439
2017,1,3,2,366
2017,1,3,3,40
2017,1,3,4,533
2017,1,3,5,59
2017,1,3,9,80
2017,1,3,99,76
2018,1,1,1,16492
2018,1,1,2,860
2018,1,1,3,55
2018,1,1,4,2491
2018,1,1,5,145
2018,1,1,9,146
2018,1,1,99,39
2018,1,2,1,30677
2018,1,2,2,1249
2018,1,2,3,98
2018,1,2,4,2968
2018,1,2,5,440
2018,1,2,9,672
2018,1,2,99,450
2018,1,3,1,5083
2018,1,3,2,465
2018,1,3,3,50
2018,1,3,4,605
2018,1,3,5,97
2018,1,3,9,113
2018,1,3,99,118
2019,1,1,1,16618
2019,1,1,2,920
2019,1,1,3,62
2019,1,1,4,2617
2019,1,1,5,155
2019,1,1,9,193
2019,1,1,99,47
2019,1,2,1,32288
2019,1,2,2,1414
2019,1,2,3,108
2019,1,2,4,3404
2019,1,2,5,495
2019,1,2,9,704
2019,1,2,99,334
2019,1,3,1,4672
2019,1,3,2,495
2019,1,3,3,52
2019,1,3,4,653
2019,1,3,5,95
2019,1,3,9,121
2019,1,3,99,72
2020,1,1,1,16652
2020,1,1,2,894
2020,1,1,3,64
2020,1,1,4,2764
2020,1,1,5,172
2020,1,1,9,204
2020,1,1,99,49
2020,1,2,1,34658
2020,1,2,2,1607
2020,1,2,3,111
2020,1,2,4,3808
2020,1,2,5,536
2020,1,2,9,760
2020,1,2,99,465
2020,1,3,1,5002
2020,1,3,2,589
2020,1,3,3,61
2020,1,3,4,808
2020,1,3,5,130
2020,1,3,9,163
2020,1,3,99,136
2021,1,1,1,17624
2021,1,1,2,969
2021,1,1,3,78
2021,1,1,4,3110
2021,1,1,5,196
2021,1,1,9,169
2021,1,1,99,52
2021,1,2,1,34549
2021,1,2,2,1698
2021,1,2,3,122
2021,1,2,4,3893
2021,1,2,5,535
2021,1,2,9,728
2021,1,2,99,417
2021,1,3,1,5007
2021,1,3,2,633
2021,1,3,3,87
2021,1,3,4,845
2021,1,3,5,131
2021,1,3,9,148
2021,1,3,99,179
2022,1,1,1,17652
2022,1,1,2,1003
2022,1,1,3,77
2022,1,1,4,3173
2022,1,1,5,182
2022,1,1,9,176
2022,1,1,99,54
2022,1,2,1,34291
2022,1,2,2,1680
2022,1,2,3,120
2022,1,2,4,3963
2022,1,2,5,534
2022,1,2,9,711
2022,1,2,99,420
2022,1,3,1,5338
2022,1,3,2,656
2022,1,3,3,72
2022,1,3,4,943
2022,1,3,5,164
2022,1,3,9,150
2022,1,3,99,221
2015,2,1,1,12629
2015,2,1,2,579
2015,2,1,3,43
2015,2,1,4,1647
2015,2,1,5,120
2015,2,1,9,46
2015,2,1,99,44
2015,2,2,1,23461
2015,2,2,2,800
2015,2,2,3,64
2015,2,2,4,2043
2015,2,2,5,355
2015,2,2,9,420
2015,2,2,99,-1
2015,2,3,1,3205
2015,2,3,2,220
2015,2,3,3,21
2015,2,3,4,243
2015,2,3,5,55
2015,2,3,9,43
2015,2,3,99,-1
2016,2,1,1,13635
2016,2,1,2,646
2016,2,1,3,47
2016,2,1,4,1848
2016,2,1,5,134
2016,2,1,9,75
2016,2,1,99,27
2016,2,2,1,26063
2016,2,2,2,947
2016,2,2,3,70
2016,2,2,4,2356
2016,2,2,5,394
2016,2,2,9,591
2016,2,2,99,322
2016,2,3,1,3961
2016,2,3,2,283
2016,2,3,3,30
2016,2,3,4,394
2016,2,3,5,55
2016,2,3,9,69
2016,2,3,99,44
2017,2,1,1,14175
2017,2,1,2,702
2017,2,1,3,51
2017,2,1,4,1935
2017,2,1,5,134
2017,2,1,9,127
2017,2,1,99,39
2017,2,2,1,28619
2017,2,2,2,1082
2017,2,2,3,80
2017,2,2,4,2771
2017,2,2,5,417
2017,2,2,9,605
2017,2,2,99,341
2017,2,3,1,4482
2017,2,3,2,361
2017,2,3,3,39
2017,2,3,4,545
2017,2,3,5,68
2017,2,3,9,72
2017,2,3,99,77
2018,2,1,1,16437
2018,2,1,2,858
2018,2,1,3,57
2018,2,1,4,2501
2018,2,1,5,145
2018,2,1,9,152
2018,2,1,99,40
2018,2,2,1,30743
2018,2,2,2,1248
2018,2,2,3,94
2018,2,2,4,2977
2018,2,2,5,437
2018,2,2,9,629
2018,2,2,99,446
2018,2,3,1,5011
2018,2,3,2,481
2018,2,3,3,54
2018,2,3,4,624
2018,2,3,5,92
2018,2,3,9,100
2018,2,3,99,126
2019,2,1,1,16598
2019,2,1,2,910
2019,2,1,3,64
2019,2,1,4,2596
2019,2,1,5,156
2019,2,1,9,203
2019,2,1,99,48
2019,2,2,1,32243
2019,2,2,2,1423
2019,2,2,3,109
2019,2,2,4,3422
2019,2,2,5,480
2019,2,2,9,675
2019,2,2,99,119
2019,2,3,1,4767
2019,2,3,2,509
2019,2,3,3,56
