year,month,treatment,N_ID
2015,1,1,15121
2015,1,2,27098
2015,1,3,3798
2016,1,1,16279
2016,1,2,30600
2016,1,3,4758
2017,1,1,17235
2017,1,2,33901
2017,1,3,5593
2018,1,1,20228
2018,1,2,36554
2018,1,3,6531
2019,1,1,20612
2019,1,2,38747
2019,1,3,6160
2020,1,1,20799
2020,1,2,41945
2020,1,3,6889
2021,1,1,22198
2021,1,2,41942
2021,1,3,7030
2022,1,1,22317
2022,1,2,41719
2022,1,3,7544
2015,2,1,15108
2015,2,2,27146
2015,2,3,3796
2016,2,1,16412
2016,2,2,30743
2016,2,3,4836
2017,2,1,17163
2017,2,2,33915
2017,2,3,5644
2018,2,1,20190
2018,2,2,36574
2018,2,3,6488
2019,2,1,20575
2019,2,2,38471
2019,2,3,6260
2020,2,1,20917
2020,2,2,41994
2020,2,3,6874
2021,2,1,22204
2021,2,2,41665
2021,2,3,7130
2022,2,1,22280
2022,2,2,41639
2022,2,3,7544
2015,3,1,15358
2015,3,2,27590
2015,3,3,4006
2016,3,1,16539
2016,3,2,31157
2016,3,3,5056
2017,3,1,17304
2017,3,2,34382
2017,3,3,5975
2018,3,1,20129
2018,3,2,36934
2018,3,3,6591
2019,3,1,20732
2019,3,2,38791
2019,3,3,6516
2020,3,1,21002
2020,3,2,42346
2020,3,3,6959
2021,3,1,22347
2021,3,2,41773
2021,3,3,7533
2022,3,1,22549
2022,3,2,41928
2022,3,3,7855
2015,4,1,15407
2015,4,2,27986
2015,4,3,4176
2016,4,1,16510
2016,4,2,31321
2016,4,3,5138
2017,4,1,17366
2017,4,2,34582
2017,4,3,6166
2018,4,1,20266
2018,4,2,37078
2018,4,3,6544
2019,4,1,20741
2019,4,2,39041
2019,4,3,6610
2020,4,1,20983
2020,4,2,42372
2020,4,3,6762
2021,4,1,22194
2021,4,2,41723
2021,4,3,7678
2022,4,1,22556
2022,4,2,41897
2022,4,3,7893
2015,5,1,15379
2015,5,2,28183
2015,5,3,4203
2016,5,1,16647
2016,5,2,31612
2016,5,3,5204
2017,5,1,17497
2017,5,2,34804
2017,5,3,6373
2018,5,1,20382
2018,5,2,37360
2018,5,3,6655
2019,5,1,20773
2019,5,2,39344
2019,5,3,6661
2020,5,1,21030
2020,5,2,42179
2020,5,3,6597
2021,5,1,21999
2021,5,2,41587
2021,5,3,7731
2022,5,1,22444
2022,5,2,41788
2022,5,3,7904
2015,6,1,15460
2015,6,2,28467
2015,6,3,4320
2016,6,1,16706
2016,6,2,32023
2016,6,3,5192
2017,6,1,19995
2017,6,2,34989
2017,6,3,6473
2018,6,1,20340
2018,6,2,37414
2018,6,3,6646
2019,6,1,20749
2019,6,2,39521
2019,6,3,6642
2020,6,1,21093
2020,6,2,42063
2020,6,3,6620
2021,6,1,22117
2021,6,2,41674
2021,6,3,7739
2022,6,1,22305
2022,6,2,41694
2022,6,3,7810
2015,7,1,15841
2015,7,2,28754
2015,7,3,4428
2016,7,1,16775
2016,7,2,32244
