year,month,treatment,age_grp_twenty,N_ID
2015,1,1,.,33
2015,1,1,1,26
2015,1,1,2,9271
2015,1,1,3,5177
2015,1,1,4,691
2015,1,1,5,-1
2015,1,2,.,83
2015,1,2,1,134
2015,1,2,2,15449
2015,1,2,3,10293
2015,1,2,4,1131
2015,1,2,5,-1
2015,1,3,.,17
2015,1,3,1,112
2015,1,3,2,2013
2015,1,3,3,1402
2015,1,3,4,249
2015,1,3,5,-1
2016,1,1,.,43
2016,1,1,1,28
2016,1,1,2,9703
2016,1,1,3,5772
2016,1,1,4,839
2016,1,1,5,-1
2016,1,2,.,145
2016,1,2,1,137
2016,1,2,2,16857
2016,1,2,3,11904
2016,1,2,4,1545
2016,1,2,5,-1
2016,1,3,.,24
2016,1,3,1,109
2016,1,3,2,2514
2016,1,3,3,1785
2016,1,3,4,317
2016,1,3,5,-1
2017,1,1,.,45
2017,1,1,1,29
2017,1,1,2,10033
2017,1,1,3,6259
2017,1,1,4,1013
2017,1,1,5,-1
2017,1,2,.,133
2017,1,2,1,113
2017,1,2,2,17972
2017,1,2,3,13643
2017,1,2,4,2026
2017,1,2,5,-1
2017,1,3,.,27
2017,1,3,1,100
2017,1,3,2,2994
2017,1,3,3,2040
2017,1,3,4,426
2017,1,3,5,-1
2018,1,1,.,47
2018,1,1,1,27
2018,1,1,2,11106
2018,1,1,3,7814
2018,1,1,4,1321
2018,1,1,5,-1
2018,1,2,.,159
2018,1,2,1,99
2018,1,2,2,18512
2018,1,2,3,15145
2018,1,2,4,2620
2018,1,2,5,-1
2018,1,3,.,31
2018,1,3,1,94
2018,1,3,2,3098
2018,1,3,3,2677
2018,1,3,4,622
2018,1,3,5,-1
2019,1,1,.,49
2019,1,1,1,34
2019,1,1,2,10893
2019,1,1,3,8235
2019,1,1,4,1516
2019,1,1,5,-1
2019,1,2,.,102
2019,1,2,1,85
2019,1,2,2,18588
2019,1,2,3,16625
2019,1,2,4,3325
2019,1,2,5,17
2019,1,3,.,20
2019,1,3,1,90
2019,1,3,2,2698
2019,1,3,3,2627
2019,1,3,4,714
2019,1,3,5,-1
2020,1,1,.,57
2020,1,1,1,25
2020,1,1,2,10528
2020,1,1,3,8638
2020,1,1,4,1715
2020,1,1,5,-1
2020,1,2,.,123
2020,1,2,1,92
2020,1,2,2,19145
2020,1,2,3,18542
2020,1,2,4,4020
2020,1,2,5,20
2020,1,3,.,29
2020,1,3,1,109
2020,1,3,2,2756
2020,1,3,3,3005
2020,1,3,4,969
2020,1,3,5,17
2021,1,1,.,66
2021,1,1,1,23
2021,1,1,2,10832
2021,1,1,3,9544
2021,1,1,4,1978
2021,1,1,5,-1
2021,1,2,.,132
2021,1,2,1,86
2021,1,2,2,17722
2021,1,2,3,19305
2021,1,2,4,4662
2021,1,2,5,34
2021,1,3,.,47
2021,1,3,1,121
2021,1,3,2,2639
2021,1,3,3,3091
2021,1,3,4,1110
2021,1,3,5,16
2022,1,1,.,53
