year,month,treatment,final_sex,N_ID
2015,1,1,1,8508
2015,1,1,2,6573
2015,1,1,99,40
2015,1,2,1,16226
2015,1,2,2,10869
2015,1,2,99,-1
2015,1,3,1,2272
2015,1,3,2,1517
2015,1,3,99,-1
2016,1,1,1,9246
2016,1,1,2,7010
2016,1,1,99,23
2016,1,2,1,18283
2016,1,2,2,12031
2016,1,2,99,286
2016,1,3,1,2973
2016,1,3,2,1752
2016,1,3,99,33
2017,1,1,1,9866
2017,1,1,2,7330
2017,1,1,99,39
2017,1,2,1,20101
2017,1,2,2,13444
2017,1,2,99,356
2017,1,3,1,3410
2017,1,3,2,2107
2017,1,3,99,76
2018,1,1,1,11339
2018,1,1,2,8850
2018,1,1,99,39
2018,1,2,1,21685
2018,1,2,2,14419
2018,1,2,99,450
2018,1,3,1,3813
2018,1,3,2,2600
2018,1,3,99,118
2019,1,1,1,11574
2019,1,1,2,8991
2019,1,1,99,47
2019,1,2,1,23180
2019,1,2,2,15233
2019,1,2,99,334
2019,1,3,1,3577
2019,1,3,2,2511
2019,1,3,99,72
2020,1,1,1,11705
2020,1,1,2,9045
2020,1,1,99,49
2020,1,2,1,25329
2020,1,2,2,16151
2020,1,2,99,465
2020,1,3,1,3905
2020,1,3,2,2848
2020,1,3,99,136
2021,1,1,1,12738
2021,1,1,2,9408
2021,1,1,99,52
2021,1,2,1,25536
2021,1,2,2,15989
2021,1,2,99,417
2021,1,3,1,3944
2021,1,3,2,2907
2021,1,3,99,179
2022,1,1,1,12924
2022,1,1,2,9339
2022,1,1,99,54
2022,1,2,1,25498
2022,1,2,2,15801
2022,1,2,99,420
2022,1,3,1,4100
2022,1,3,2,3223
2022,1,3,99,221
2015,2,1,1,8492
2015,2,1,2,6572
2015,2,1,99,44
2015,2,2,1,16238
2015,2,2,2,10905
2015,2,2,99,-1
2015,2,3,1,2278
2015,2,3,2,1509
2015,2,3,99,-1
2016,2,1,1,9337
2016,2,1,2,7048
2016,2,1,99,27
2016,2,2,1,18389
2016,2,2,2,12032
2016,2,2,99,322
2016,2,3,1,3036
2016,2,3,2,1756
2016,2,3,99,44
2017,2,1,1,9851
2017,2,1,2,7273
2017,2,1,99,39
2017,2,2,1,20123
2017,2,2,2,13451
2017,2,2,99,341
2017,2,3,1,3448
2017,2,3,2,2119
2017,2,3,99,77
2018,2,1,1,11333
2018,2,1,2,8817
2018,2,1,99,40
2018,2,2,1,21718
2018,2,2,2,14410
2018,2,2,99,446
2018,2,3,1,3787
2018,2,3,2,2575
2018,2,3,99,126
2019,2,1,1,11573
2019,2,1,2,8954
2019,2,1,99,48
2019,2,2,1,23083
2019,2,2,2,15269
2019,2,2,99,119
2019,2,3,1,3661
2019,2,3,2,2576
2019,2,3,99,23
2020,2,1,1,11780
2020,2,1,2,9089
2020,2,1,99,48
2020,2,2,1,25408
2020,2,2,2,16143
2020,2,2,99,443
2020,2,3,1,3928
2020,2,3,2,2818
2020,2,3,99,128
2021,2,1,1,12739
2021,2,1,2,9411
2021,2,1,99,54
2021,2,2,1,25399
2021,2,2,2,15869
2021,2,2,99,397
2021,2,3,1,3986
2021,2,3,2,2961
2021,2,3,99,183
2022,2,1,1,12911
2022,2,1,2,9319
2022,2,1,99,50
2022,2,2,1,25477
2022,2,2,2,15753
2022,2,2,99,409
2022,2,3,1,4104
2022,2,3,2,3212
2022,2,3,99,228
2015,3,1,1,8634
2015,3,1,2,6679
2015,3,1,99,45
2015,3,2,1,16531
2015,3,2,2,11056
2015,3,2,99,-1
2015,3,3,1,2419
2015,3,3,2,1577
2015,3,3,99,-1
2016,3,1,1,9406
2016,3,1,2,7104
2016,3,1,99,29
2016,3,2,1,18574
2016,3,2,2,12240
2016,3,2,99,343
2016,3,3,1,3145
2016,3,3,2,1861
2016,3,3,99,50
2017,3,1,1,9928
2017,3,1,2,7331
2017,3,1,99,45
2017,3,2,1,20423
2017,3,2,2,13621
2017,3,2,99,338
2017,3,3,1,3635
2017,3,3,2,2258
2017,3,3,99,82
2018,3,1,1,11298
2018,3,1,2,8789
2018,3,1,99,42
2018,3,2,1,21959
2018,3,2,2,14522
2018,3,2,99,453
2018,3,3,1,3879
2018,3,3,2,2588
2018,3,3,99,124
2019,3,1,1,11676
2019,3,1,2,9003
2019,3,1,99,53
2019,3,2,1,23335
2019,3,2,2,15398
2019,3,2,99,58
2019,3,3,1,3797
2019,3,3,2,2706
2019,3,3,99,13
2020,3,1,1,11814
2020,3,1,2,9132
2020,3,1,99,56
2020,3,2,1,25651
2020,3,2,2,16245
2020,3,2,99,450
2020,3,3,1,3980
2020,3,3,2,2846
2020,3,3,99,133
2021,3,1,1,12829
2021,3,1,2,9467
2021,3,1,99,51
2021,3,2,1,25519
2021,3,2,2,15849
2021,3,2,99,405
2021,3,3,1,4208
2021,3,3,2,3131
2021,3,3,99,194
2022,3,1,1,13100
2022,3,1,2,9399
2022,3,1,99,50
2022,3,2,1,25686
2022,3,2,2,15834
2022,3,2,99,408
2022,3,3,1,4245
2022,3,3,2,3382
2022,3,3,99,228
2015,4,1,1,8631
2015,4,1,2,6729
2015,4,1,99,47
2015,4,2,1,16805
2015,4,2,2,11178
2015,4,2,99,-1
2015,4,3,1,2518
2015,4,3,2,1648
2015,4,3,99,-1
2016,4,1,1,9360
2016,4,1,2,7122
2016,4,1,99,28
2016,4,2,1,18638
2016,4,2,2,12346
2016,4,2,99,337
2016,4,3,1,3166
2016,4,3,2,1907
2016,4,3,99,65
2017,4,1,1,9980
2017,4,1,2,7338
2017,4,1,99,48
2017,4,2,1,20526
2017,4,2,2,13707
2017,4,2,99,349
2017,4,3,1,3686
2017,4,3,2,2388
2017,4,3,99,92
2018,4,1,1,11375
2018,4,1,2,8851
2018,4,1,99,40
2018,4,2,1,22081
2018,4,2,2,14547
2018,4,2,99,450
2018,4,3,1,3856
2018,4,3,2,2566
2018,4,3,99,122
2019,4,1,1,11650
2019,4,1,2,9035
2019,4,1,99,56
2019,4,2,1,23508
2019,4,2,2,15503
2019,4,2,99,30
2019,4,3,1,3834
2019,4,3,2,2768
2019,4,3,99,-1
2020,4,1,1,11831
2020,4,1,2,9099
2020,4,1,99,53
2020,4,2,1,25717
2020,4,2,2,16211
2020,4,2,99,444
2020,4,3,1,3819
2020,4,3,2,2807
2020,4,3,99,136
2021,4,1,1,12754
2021,4,1,2,9387
2021,4,1,99,53
2021,4,2,1,25467
